Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR,Analysis_Group
Early (≤30 days),Mycophenolate..C18.,19.97985512424635,19.867844548643077,-0.11201057560327143,0.9926905422037515,0.9926905422037515,Predefined
Early (≤30 days),Mycophenolate..HILIC.,24.74266659858174,25.282061738978335,0.5393951403965964,0.4416533159205662,0.9569534382042477,Predefined
Early (≤30 days),X11.Dehydrocorticosterone..HILIC.,15.613401031914343,15.118953762222432,-0.49444726969191066,0.07820432020025803,0.5474302414018062,Predefined
Early (≤30 days),Prednisone..HILIC.,15.485231866257735,15.328849761883323,-0.15638210437441202,0.87622654000719,0.9926905422037515,Predefined
Early (≤30 days),Cortisone..HILIC.,15.088022183223943,14.992811042403952,-0.09521114081999116,0.7596748867910432,0.9926905422037515,Predefined
Early (≤30 days),Tetrahydrocorticosterone..C18.,20.033387645966393,20.091450937129782,0.05806329116338915,0.7207461473885646,0.9926905422037515,Predefined
Early (≤30 days),Tetrahydrocortisone..C18.,16.14385751688184,16.388526235460247,0.24466871857840644,0.22036508697294196,0.6170222435242375,Predefined
Early (≤30 days),Prednisone..C18.,15.82844398135159,16.498403105644066,0.6699591242924754,0.1849721467382568,0.6170222435242375,Predefined
Early (≤30 days),Cortisone.acetate..HILIC.,15.77389387372162,15.54955026304734,-0.22434361067428021,0.0764954035253483,0.5474302414018062,Predefined
Early (≤30 days),Dexamethasone.acetate.anhydrous..C18.,15.641470418241104,15.34702388351111,-0.29444653472999427,0.9488673294752255,0.9926905422037515,Predefined
Early (≤30 days),Fludrocortisone.acetate..HILIC.,14.686303598563933,14.866020098749232,0.1797165001852985,0.5147174066630948,0.9569534382042477,Predefined
Early (≤30 days),Fludrocortisone..C18.,15.846744047725874,15.617746341876721,-0.22899770584915302,0.16336977244274903,0.6170222435242375,Predefined
Early (≤30 days),Hydrocortisone.sodium.succinate..HILIC.,15.035941775160996,14.821207496058861,-0.21473427910213516,0.8474194347242824,0.9926905422037515,Predefined
Early (≤30 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,19.807972592379777,20.174767277988746,0.3667946856089692,0.546830536116713,0.9569534382042477,Predefined
Medium (31-90 days),Mycophenolate..C18.,20.12000708052294,19.66142017155196,-0.45858690897097887,0.29779206277732967,0.9444329669790502,Predefined
Medium (31-90 days),Mycophenolate..HILIC.,24.595493743157167,23.786291354375514,-0.8092023887816531,0.24455710167243752,0.9444329669790502,Predefined
Medium (31-90 days),X11.Dehydrocorticosterone..HILIC.,15.33661220813238,14.80204170490476,-0.53457050322762,0.42596681278775245,0.9842726757077296,Predefined
Medium (31-90 days),Prednisone..HILIC.,15.15304402123709,15.308241418741815,0.1551973975047254,0.7678322811618331,0.9842726757077296,Predefined
Medium (31-90 days),Cortisone..HILIC.,14.685451891031132,14.19397863800621,-0.49147325302492284,0.9511358645945761,0.9842726757077296,Predefined
Medium (31-90 days),Tetrahydrocorticosterone..C18.,20.010806327084055,19.99542704796876,-0.015379279115293798,0.9842726757077296,0.9842726757077296,Predefined
Medium (31-90 days),Tetrahydrocortisone..C18.,16.006668311506232,15.772143732106048,-0.23452457940018334,0.8223336666113945,0.9842726757077296,Predefined
Medium (31-90 days),Prednisone..C18.,15.68410649012313,15.364071036031838,-0.3200354540912915,0.2883175152707268,0.9444329669790502,Predefined
