Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Q1 (Earliest),Mycophenolate..C18.,20.12610866373582,19.892382126557248,-0.2337265371785726,0.8353464497873317,1
Q1 (Earliest),Mycophenolate..HILIC.,24.765325787535716,25.21288903308138,0.4475632455456662,0.8353464497873317,1
Q1 (Earliest),X11.Dehydrocorticosterone..HILIC.,15.52342109162053,15.118953762222432,-0.4044673293980985,0.1702997472479904,0.5960491153679665
Q1 (Earliest),Prednisone..HILIC.,15.533889404255026,15.223573170061258,-0.31031623419376864,0.6657516266886154,1
Q1 (Earliest),Cortisone..HILIC.,15.084372466311516,15.143580897512809,0.059208431201293266,0.761240813030383,1
Q1 (Earliest),Tetrahydrocorticosterone..C18.,20.085402047083868,20.091450937129782,0.006048890045914135,0.9872461803692585,1
Q1 (Earliest),Tetrahydrocortisone..C18.,16.13144907560073,16.244252340936338,0.11280326533560725,0.1415423334876322,0.5960491153679665
Q1 (Earliest),Prednisone..C18.,16.59839714966823,16.245485703626038,-0.35291144604219227,0.6970139340316205,1
Q1 (Earliest),Cortisone.acetate..HILIC.,15.775780037421224,15.54955026304734,-0.22622977437388414,0.13281012701937914,0.5960491153679665
Q1 (Earliest),Dexamethasone.acetate.anhydrous..C18.,15.933026708509994,15.525353497410002,-0.40767321109999166,1,1
Q1 (Earliest),Fludrocortisone.acetate..HILIC.,14.409629663850238,14.777898122363467,0.36826845851322965,0.3952258766104215,1
Q1 (Earliest),Fludrocortisone..C18.,15.846744047725874,15.534445584606726,-0.31229846311914855,0.10903609935213678,0.5960491153679665
Q1 (Earliest),Hydrocortisone.sodium.succinate..HILIC.,14.894581004369375,14.705114928813641,-0.18946607555573358,0.7369692002290313,1
Q1 (Earliest),Mycophenolic.acid.O.acyl.glucuronide..C18.,20.060588284083362,20.138073541212044,0.07748525712868215,0.9617515593109389,1
