Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Q3 (Med-Late),Mycophenolate..C18.,20.143144176881457,19.200023087427756,-0.943121089453701,0.21036833938457355,0.7362891878460074
Q3 (Med-Late),Mycophenolate..HILIC.,24.600081268336773,22.71306841020983,-1.887012858126944,0.14098869569180897,0.7362891878460074
Q3 (Med-Late),X11.Dehydrocorticosterone..HILIC.,15.380472930653884,14.618832890898267,-0.7616400397556173,0.14108838311494126,0.7362891878460074
Q3 (Med-Late),Prednisone..HILIC.,15.15304402123709,15.105360234290044,-0.04768378694704545,1,1
Q3 (Med-Late),Cortisone..HILIC.,14.685451891031132,12.570496373794063,-2.1149555172370693,0.49055710339213615,0.9811142067842723
Q3 (Med-Late),Tetrahydrocorticosterone..C18.,20.010806327084055,20.084719650166136,0.0739133230820812,0.3815982404692082,0.8903958944281526
Q3 (Med-Late),Tetrahydrocortisone..C18.,15.641722546694119,15.95980051013948,0.31807796344536143,0.6385640323933744,0.9933218281674714
Q3 (Med-Late),Prednisone..C18.,15.500231403251785,15.542306452815096,0.04207504956331043,0.8755844129240697,1
Q3 (Med-Late),Cortisone.acetate..HILIC.,15.654079711117866,15.70008206166017,0.04600235054230417,0.5714809384164222,0.9933218281674714
Q3 (Med-Late),Dexamethasone.acetate.anhydrous..C18.,15.641826128978897,15.88572022584002,0.24389409686112273,0.8365102639296185,1
Q3 (Med-Late),Fludrocortisone.acetate..HILIC.,14.605429547376101,14.573860227243717,-0.03156932013238389,1,1
Q3 (Med-Late),Fludrocortisone..C18.,15.765219481864188,15.908765561215183,0.14354607935099573,0.3815982404692082,0.8903958944281526
Q3 (Med-Late),Hydrocortisone.sodium.succinate..HILIC.,14.773916452423162,15.488050401046475,0.7141339486233136,0.9296187683284454,1
Q3 (Med-Late),Mycophenolic.acid.O.acyl.glucuronide..C18.,20.12871944693757,18.704357253290134,-1.4243621936474362,0.21036833938457355,0.7362891878460074
