Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Q2 (Early-Med),Mycophenolate..C18.,19.70080707382067,19.962854078492736,0.2620470046720662,0.7768631813125694,1
Q2 (Early-Med),Mycophenolate..HILIC.,24.577992994526394,25.381089438995744,0.8030964444693502,0.3325852653958983,1
Q2 (Early-Med),X11.Dehydrocorticosterone..HILIC.,15.655326101650548,15.609424082806965,-0.04590201884358258,0.974860956618465,1
Q2 (Early-Med),Prednisone..HILIC.,15.385319358940936,15.534807476020019,0.14948811707908227,0.6812013348164625,1
Q2 (Early-Med),Cortisone..HILIC.,15.242951585880718,14.994702620502354,-0.24824896537836416,1,1
Q2 (Early-Med),Tetrahydrocorticosterone..C18.,20.023596780326354,19.32471542913294,-0.698881351193414,0.5454949944382647,1
Q2 (Early-Med),Tetrahydrocortisone..C18.,16.395783830343138,16.498165163196425,0.10238133285328743,0.974860956618465,1
Q2 (Early-Med),Prednisone..C18.,15.305342953842974,16.574357015350024,1.2690140615070504,0.6161480335402807,1
Q2 (Early-Med),Cortisone.acetate..HILIC.,15.701604433329209,15.117874428601274,-0.5837300047279346,0.12191323692992212,1
Q2 (Early-Med),Dexamethasone.acetate.anhydrous..C18.,15.425571622358301,14.924450717678983,-0.5011209046793184,0.5454949944382647,1
Q2 (Early-Med),Fludrocortisone.acetate..HILIC.,14.737889728065936,15.01975581055073,0.28186608248479494,0.3159065628476084,1
Q2 (Early-Med),Fludrocortisone..C18.,15.69950901857611,15.858539605794801,0.159030587218691,0.8258064516129031,1
Q2 (Early-Med),Hydrocortisone.sodium.succinate..HILIC.,14.983515130038437,15.295923188091308,0.31240805805287053,0.5454949944382647,1
Q2 (Early-Med),Mycophenolic.acid.O.acyl.glucuronide..C18.,19.74693738504359,20.400703420560067,0.653766035516476,0.3324389798537876,1
